,Symbol,Company Name,Industry,Market Cap
282,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,7.62B
283,AMBC,Ambac Financial Group,Insurance,709.38M
284,AMBO,Ambow Education Holding,Diversified Consumer Services,24.69M
285,AMBP,Ardagh Metal Packaging,Packaging & Containers,6.05B
286,AMC,AMC Entertainment Holdings,Entertainment,14.09B
287,AMCI,AMCI Acquisition II,Blank Check / SPAC,181.87M
288,AMCR,Amcor,Containers & Packaging,17.78B
289,AMCX,AMC Networks,Media,1.65B
290,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,167.31B
291,AME,AMETEK,Electrical Equipment,33.02B
292,AMED,Amedisys,Health Care Providers & Services,5.24B
293,AMEH,Apollo Medical Holdings,Health Care Providers & Services,4.17B
294,AMG,Affiliated Managers Group,Capital Markets,6.72B
295,AMGN,Amgen,Biotechnology,118.79B
296,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts...,13.86B
297,AMK,AssetMark Financial Holdings,Capital Markets,1.85B
298,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5.72B
299,AMN,AMN Healthcare Services,Health Care Providers & Services,5.26B
300,AMNB,American National Bankshares,Banks,400.54M
301,AMOT,Allied Motion Technologies,Electrical Equipment,561.64M
302,AMOV,America Movil,Wireless Telecommunication Services,61.67B
303,AMP,Ameriprise Financial,Capital Markets,33.32B
304,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,200.19M
305,AMPG,AmpliTech Group,Communication Equipment,33.82M
306,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1.03B
307,AMPI,Advanced Merger Partners,Blank Check / SPAC,351.47M
308,AMPL,Amplitude,Software-Application,6.05B
309,AMPS,Altus Power,Shell Companies,0.00
310,AMPY,Amplify Energy,Oil & Gas E&P,118.25M
311,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",922.23M
312,AMRC,Ameresco,Construction & Engineering,4.20B
313,AMRK,A-Mark Precious Metals,Diversified Financial Services,692.59M
314,AMRN,Amarin,Biotechnology,1.34B
315,AMRS,Amyris,Chemicals,1.83B
316,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,603.46M
317,AMS,American Shared Hospital Services,Health Care Providers & Services,15.20M
318,AMSC,American Superconductor,Electrical Equipment,319.73M
319,AMSF,AMERISAFE,Insurance,1.01B
320,AMST,Amesite,Software-Application,26.60M
321,AMSWA,American Software,Software,790.88M
322,AMT,American Tower,Equity Real Estate Investment Trusts...,124.13B
323,AMTB,Amerant Bancorp,Banks,1.17B
324,AMTI,Applied Molecular Transport,Biotechnology,555.02M
325,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",570.25M
326,AMWD,American Woodmark,Building Products,1.08B
327,AMWL,American Well,Health Information Services,1.62B
328,AMX,America Movil,Wireless Telecommunication Services,62.22B
329,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,605.43M
330,AMZN,Amazon.com,Internet & Direct Marketing Retail,"1,746.74B"
331,AN,AutoNation,Specialty Retail,7.91B
332,ANAB,AnaptysBio,Biotechnology,825.24M
333,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,386.22M
334,ANAT,American National Group,Insurance,5.07B
335,ANDE,The Andersons,Food & Staples Retailing,1.16B
336,ANEB,Anebulo Pharmaceuticals,Biotechnology,148.39M
337,ANET,Arista Networks,Communications Equipment,40.16B
338,ANF,Abercrombie & Fitch Company,Specialty Retail,2.00B
339,ANGI,Angi Inc.,Interactive Media & Services,4.80B
340,ANGN,Angion Biomedica,Biotechnology,78.19M
341,ANGO,AngioDynamics,Health Care Equipment & Supplies,980.56M
342,ANIK,Anika Therapeutics,Biotechnology,559.28M
343,ANIP,ANI Pharmaceuticals,Pharmaceuticals,623.08M
344,ANIX,Anixa Biosciences,Biotechnology,99.13M
345,ANNX,Annexon,Biotechnology,605.17M
346,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,21.14M
347,ANSS,ANSYS,Software,34.77B
348,ANTE,AirNet Technology,Media,37.19M
