Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,BVLZX12,Equinix Inc.,EQIX,0.16%,Specialized REITs,US,---,"$2,031,452,031.40","2,531,089"
,2567741,Marsh & McLennan Cos. Inc.,MMC,0.16%,Insurance Brokers,US,---,"$2,024,398,564.60","14,390,095"
,2142784,FedEx Corp.,FDX,0.16%,Air Freight & Logistics,US,---,"$2,012,814,610.20","6,746,940"
,2087807,Becton Dickinson and Co.,BDX,0.16%,Health Care Equipment,US,---,"$1,997,800,743.01","8,214,979"
,2320524,Estee Lauder Cos. Inc.,EL,0.16%,Personal Products,US,---,"$1,978,303,013.12","6,219,514"
,2654461,Capital One Financial Corp.,COF,0.16%,Consumer Finance,US,---,"$1,972,918,116.28","12,754,012"
,2613990,Illumina Inc.,ILMN,0.15%,Life Sciences Tools & Services,US,---,"$1,951,615,048.05","4,124,205"
,2209106,Colgate-Palmolive Co.,CL,0.15%,Household Products,US,---,"$1,943,362,177.70","23,888,902"
,BFSSDS9,Intercontinental Exchange Inc.,ICE,0.15%,Financial Exchanges & Data,US,---,"$1,886,775,077.50","15,895,325"
,BKF2SL7,Blackstone Group Inc.,BX,0.15%,Asset Management & Custody Banks,US,---,"$1,877,376,695.70","19,326,505"
,2641894,Norfolk Southern Corp.,NSC,0.15%,Railroads,US,---,"$1,875,895,585.56","7,067,916"
,BK6N347,Uber Technologies Inc.,UBER,0.15%,Trucking,US,---,"$1,854,261,823.40","36,996,445"
,2804211,Sherwin-Williams Co.,SHW,0.15%,Specialty Chemicals,US,---,"$1,841,857,629.95","6,760,351"
,2567116,Edwards Lifesciences Corp.,EW,0.14%,Health Care Equipment,US,---,"$1,818,646,943.44","17,559,592"
,2065159,Autodesk Inc.,ADSK,0.14%,Application Software,US,---,"$1,814,928,824.10","6,217,639"
,2829601,Southern Co.,SO,0.14%,Electric Utilities,US,---,"$1,811,023,153.20","29,929,320"
,2342034,Fiserv Inc.,FISV,0.14%,Data Processing & Outsourced Services,US,---,"$1,809,913,856.10","16,932,490"
,BD6P5Q0,Twilio Inc.,TWLO,0.14%,Internet Services & Infrastructure,US,---,"$1,807,392,300.48","4,585,428"
,2011602,Air Products and Chemicals Inc.,APD,0.14%,Industrial Gases,US,---,"$1,798,251,432.32","6,250,874"
,2457552,Illinois Tool Works Inc.,ITW,0.14%,Industrial Machinery,US,---,"$1,794,383,548.92","8,026,407"
,2032067,Analog Devices Inc.,ADI,0.14%,Semiconductors,US,---,"$1,794,175,769.60","10,421,560"
,BN134B7,Snowflake Inc.,SNOW,0.14%,Internet Services & Infrastructure,US,---,"$1,718,517,333.00","7,107,185"
